Category,Motivation,clean_motivation,Label
economics,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",pathbreaking contribution theory international trade international capital movements,5
physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",fundamental theoretical investigations electronic structure magnetic disordered systems,0
physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""",fundamental theoretical investigations electronic structure magnetic disordered systems,0
medicine,"""for their discoveries concerning the peptide hormone production of the brain""",discoveries concerning peptide hormone production brain,1
medicine,"""for the development of radioimmunoassays of peptide hormones""",development radioimmunoassays peptide hormones,1
chemistry,"""for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures""",contributions nonequilibrium thermodynamics particularly theory dissipative structures,4
medicine,"""for their discoveries concerning the peptide hormone production of the brain""",discoveries concerning peptide hormone production brain,1
peace,"""for worldwide respect for human rights""",worldwide respect human rights,2
literature,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",creative poetic writing illuminates mans condition cosmos presentday society time representing great renewal traditions Spanish poetry wars,3
peace,"""for jointly having negotiated peace between Egypt and Israel in 1978""",jointly negotiated peace Egypt Israel 1978,2
peace,"""for jointly having negotiated peace between Egypt and Israel in 1978""",jointly negotiated peace Egypt Israel 1978,2
physics,"""for their discovery of cosmic microwave background radiation""",discovery cosmic microwave background radiation,0
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",discovery restriction enzymes application problems molecular genetics,1
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",discovery restriction enzymes application problems molecular genetics,1
medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",discovery restriction enzymes application problems molecular genetics,1
physics,"""for their discovery of cosmic microwave background radiation""",discovery cosmic microwave background radiation,0
literature,"""for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life""",impassioned narrative art roots PolishJewish cultural tradition brings universal human conditions life,3
economics,"""for his pioneering research into the decision-making process within economic organizations""",pioneering research decisionmaking process within economic organizations,5
physics,"""for his basic inventions and discoveries in the area of low-temperature physics""",basic inventions discoveries area lowtemperature physics,0
chemistry,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",contribution understanding biological energy transfer formulation chemiosmotic theory,4
chemistry,"""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""",development use boron phosphoruscontaining compounds respectively important reagents organic synthesis,4
economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",pioneering research economic development research particular consideration problems developing countries,5
economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",pioneering research economic development research particular consideration problems developing countries,5
peace,"""for her work for bringing help to suffering humanity""",work bringing help suffering humanity,2
chemistry,"""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""",development use boron phosphoruscontaining compounds respectively important reagents organic synthesis,4
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current,0
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current,0
medicine,"""for the development of computer assisted tomography""",development computer assisted tomography,1
medicine,"""for the development of computer assisted tomography""",development computer assisted tomography,1
literature,"""for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",poetry background Greek tradition depicts sensuous strength intellectual clearsightedness modern mans struggle freedom creativeness,3
physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""",contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current,0
chemistry,"""for his work on the structure of proteins especially that of insulin""",work structure proteins especially insulin,4
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",contributions concerning determination base sequences nucleic acids,4
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",discoveries concerning genetically determined structures cell surface regulate immunological reactions,1
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",discoveries concerning genetically determined structures cell surface regulate immunological reactions,1
economics,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",creation econometric models application analysis economic fluctuations economic policies,5
chemistry,"""for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinant-DNA""",fundamental studies biochemistry nucleic acids particular regard recombinantDNA,4
peace,"""for being a source of inspiration to repressed people especially in Latin America""",source inspiration repressed people especially Latin America,2
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",contributions concerning determination base sequences nucleic acids,4
physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",discovery violations fundamental symmetry principles decay neutral Kmesons,0
physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""",discovery violations fundamental symmetry principles decay neutral Kmesons,0
literature,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",uncompromising clearsightedness voices mans exposed condition world severe conflicts,3
medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",discoveries concerning genetically determined structures cell surface regulate immunological reactions,1
economics,"""for his analysis of financial markets and their relations to expenditure decisions employment production and prices""",analysis financial markets relations expenditure decisions employment production prices,5
literature,"""for writings marked by a broad outlook a wealth of ideas and artistic power""",writings marked broad outlook wealth ideas artistic power,3
medicine,"""for their discoveries concerning information processing in the visual system""",discoveries concerning information processing visual system,1
physics,"""for their contribution to the development of laser spectroscopy""",contribution development laser spectroscopy,0
peace,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",efforts heal wounds war providing help protection refugees world,2
peace,"""for promoting the fundamental rights of refugees""",promoting fundamental rights refugees,2
medicine,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",discoveries concerning functional specialization cerebral hemispheres,1
chemistry,"""for their theories developed independently concerning the course of chemical reactions""",theories developed independently concerning course chemical reactions,4
chemistry,"""for their theories developed independently concerning the course of chemical reactions""",theories developed independently concerning course chemical reactions,4
medicine,"""for their discoveries concerning information processing in the visual system""",discoveries concerning information processing visual system,1
physics,"""for their contribution to the development of laser spectroscopy""",contribution development laser spectroscopy,0
physics,"""for his contribution to the development of high-resolution electron spectroscopy""",contribution development highresolution electron spectroscopy,0
economics,"""for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation""",seminal studies industrial structures functioning markets causes effects public regulation,5
peace,"""for their work for disarmament and nuclear and weapon-free zones""",work disarmament nuclear weaponfree zones,2
literature,"""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts""",novels short stories fantastic realistic combined richly composed world imagination reflecting continents life conflicts,3
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",discoveries concerning prostaglandins related biologically active substances,1
chemistry,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",development crystallographic electron microscopy structural elucidation biologically important nucleic acidprotein complexes,4
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",discoveries concerning prostaglandins related biologically active substances,1
physics,"""for his theory for critical phenomena in connection with phase transitions""",theory critical phenomena connection phase transitions,0
peace,"""for their work for disarmament and nuclear and weapon-free zones""",work disarmament nuclear weaponfree zones,2
medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",discoveries concerning prostaglandins related biologically active substances,1
peace,"""for non-violent struggle for free trade unions and human rights in Poland""",nonviolent struggle free trade unions human rights Poland,2
chemistry,"""for his work on the mechanisms of electron transfer reactions especially in metal complexes""",work mechanisms electron transfer reactions especially metal complexes,4
medicine,"""for her discovery of mobile genetic elements""",discovery mobile genetic elements,1
economics,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",incorporated new analytical methods economic theory rigorous reformulation theory general equilibrium,5
literature,"""for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today""",novels perspicuity realistic narrative art diversity universality myth illuminate human condition world today,3
physics,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""",theoretical experimental studies nuclear reactions importance formation chemical elements universe,0
physics,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""",theoretical studies physical processes importance structure evolution stars,0
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",theories concerning specificity development control immune system discovery principle production monoclonal antibodies,1
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",theories concerning specificity development control immune system discovery principle production monoclonal antibodies,1
medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",theories concerning specificity development control immune system discovery principle production monoclonal antibodies,1
literature,"""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",poetry endowed freshness sensuality rich inventiveness provides liberating image indomitable spirit versatility man,3
peace,"""for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa""",role unifying leader figure nonviolent campaign resolve problem apartheid South Africa,2
chemistry,"""for his development of methodology for chemical synthesis on a solid matrix""",development methodology chemical synthesis solid matrix,4
physics,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",decisive contributions large project led discovery field particles W Z communicators weak interaction,0
physics,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""",decisive contributions large project led discovery field particles W Z communicators weak interaction,0
economics,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",made fundamental contributions development systems national accounts hence greatly improved basis empirical economic analysis,5
peace,"""for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war""",spreading authoritative information creating awareness catastrophic consequences nuclear war,2
physics,"""for the discovery of the quantized Hall effect""",discovery quantized Hall effect,0
medicine,"""for their discoveries concerning the regulation of cholesterol metabolism""",discoveries concerning regulation cholesterol metabolism,1
medicine,"""for their discoveries concerning the regulation of cholesterol metabolism""",discoveries concerning regulation cholesterol metabolism,1
chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",outstanding achievements development direct methods determination crystal structures,4
chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",outstanding achievements development direct methods determination crystal structures,4
literature,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",novel combines poets painters creativeness deepened awareness time depiction human condition,3
economics,"""for his pioneering analyses of saving and of financial markets""",pioneering analyses saving financial markets,5
chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",contributions concerning dynamics chemical elementary processes,4
chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",contributions concerning dynamics chemical elementary processes,4
physics,"""for their design of the scanning tunneling microscope""",design scanning tunneling microscope,0
physics,"""for their design of the scanning tunneling microscope""",design scanning tunneling microscope,0
physics,"""for his fundamental work in electron optics and for the design of the first electron microscope""",fundamental work electron optics design first electron microscope,0
chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",contributions concerning dynamics chemical elementary processes,4
medicine,"""for their discoveries of growth factors""",discoveries growth factors,1
medicine,"""for their discoveries of growth factors""",discoveries growth factors,1
peace,"""for being a messenger to mankind: his message is one of peace atonement and dignity""",messenger mankind message one peace atonement dignity,2
literature,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",wide cultural perspective poetic overtones fashions drama existence,3
economics,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",development contractual constitutional bases theory economic political decisionmaking,5
chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",development use molecules structurespecific interactions high selectivity,4
literature,"""for an all-embracing authorship imbued with clarity of thought and poetic intensity""",allembracing authorship imbued clarity thought poetic intensity,3
physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",important breakthrough discovery superconductivity ceramic materials,0
chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",development use molecules structurespecific interactions high selectivity,4
physics,"""for their important break-through in the discovery of superconductivity in ceramic materials""",important breakthrough discovery superconductivity ceramic materials,0
medicine,"""for his discovery of the genetic principle for generation of antibody diversity""",discovery genetic principle generation antibody diversity,1
economics,"""for his contributions to the theory of economic growth""",contributions theory economic growth,5
peace,"""for his work for lasting peace in Central America""",work lasting peace Central America,2
chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",development use molecules structurespecific interactions high selectivity,4
peace,"""for preventing armed clashes and creating conditions for negotiations""",preventing armed clashes creating conditions negotiations,2
physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",neutrino beam method demonstration doublet structure leptons discovery muon neutrino,0
physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",neutrino beam method demonstration doublet structure leptons discovery muon neutrino,0
physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""",neutrino beam method demonstration doublet structure leptons discovery muon neutrino,0
medicine,"""for their discoveries of important principles for drug treatment""",discoveries important principles drug treatment,1
chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",determination threedimensional structure photosynthetic reaction centre,4
chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",determination threedimensional structure photosynthetic reaction centre,4
chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",determination threedimensional structure photosynthetic reaction centre,4
literature,"""who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",works rich nuance clearsightedly realistic evocatively ambiguous formed Arabian narrative art applies mankind,3
medicine,"""for their discoveries of important principles for drug treatment""",discoveries important principles drug treatment,1
medicine,"""for their discoveries of important principles for drug treatment""",discoveries important principles drug treatment,1
economics,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",pioneering contributions theory markets efficient utilization resources,5
chemistry,"""for their discovery of catalytic properties of RNA""",discovery catalytic properties RNA,4
chemistry,"""for their discovery of catalytic properties of RNA""",discovery catalytic properties RNA,4
physics,"""for the development of the ion trap technique""",development ion trap technique,0
physics,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""",invention separated oscillatory fields method use hydrogen maser atomic clocks,0
medicine,"""for their discovery of the cellular origin of retroviral oncogenes""",discovery cellular origin retroviral oncogenes,1
physics,"""for the development of the ion trap technique""",development ion trap technique,0
economics,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",clarification probability theory foundations econometrics analyses simultaneous economic structures,5
literature,"""for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability""",rich intensive prose restrained compassion forms challenging vision mans vulnerability,3
peace,"""for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people""",advocating peaceful solutions based upon tolerance mutual respect order preserve historical cultural heritage people,2
medicine,"""for their discovery of the cellular origin of retroviral oncogenes""",discovery cellular origin retroviral oncogenes,1
literature,"""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity""",impassioned writing wide horizons characterized sensuous intelligence humanistic integrity,3
physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics,0
physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics,0
physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""",pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics,0
economics,"""for their pioneering work in the theory of financial economics""",pioneering work theory financial economics,5
economics,"""for their pioneering work in the theory of financial economics""",pioneering work theory financial economics,5
medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",discoveries concerning organ cell transplantation treatment human disease,1
peace,"""for the leading role he played in the radical changes in East-West relations""",leading role played radical changes EastWest relations,2
medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",discoveries concerning organ cell transplantation treatment human disease,1
economics,"""for their pioneering work in the theory of financial economics""",pioneering work theory financial economics,5
chemistry,"""for his development of the theory and methodology of organic synthesis""",development theory methodology organic synthesis,4
economics,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",discovery clarification significance transaction costs property rights institutional structure functioning economy,5
literature,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",magnificent epic writing words Alfred Nobel great benefit humanity,3
medicine,"""for their discoveries concerning the function of single ion channels in cells""",discoveries concerning function single ion channels cells,1
physics,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers""",discovering methods developed studying order phenomena simple systems generalized complex forms matter particular liquid crystals polymers,0
peace,"""for her non-violent struggle for democracy and human rights""",nonviolent struggle democracy human rights,2
medicine,"""for their discoveries concerning the function of single ion channels in cells""",discoveries concerning function single ion channels cells,1
chemistry,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",contributions development methodology high resolution nuclear magnetic resonance NMR spectroscopy,4
literature,"""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment""",poetic oeuvre great luminosity sustained historical vision outcome multicultural commitment,3
medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",discoveries concerning reversible protein phosphorylation biological regulatory mechanism,1
chemistry,"""for his contributions to the theory of electron transfer reactions in chemical systems""",contributions theory electron transfer reactions chemical systems,4
economics,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour""",extended domain microeconomic analysis wide range human behaviour interaction including nonmarket behaviour,5
peace,"""for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",struggle social justice ethnocultural reconciliation based respect rights indigenous peoples,2
physics,"""for his invention and development of particle detectors in particular the multiwire proportional chamber""",invention development particle detectors particular multiwire proportional chamber,0
medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",discoveries concerning reversible protein phosphorylation biological regulatory mechanism,1
physics,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",discovery new type pulsar discovery opened new possibilities study gravitation,0
physics,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""",discovery new type pulsar discovery opened new possibilities study gravitation,0
literature,"""who in novels characterized by visionary force and poetic import gives life to an essential aspect of American reality""",novels characterized visionary force poetic import gives life essential aspect American reality,3
economics,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",renewed research economic history applying economic theory quantitative methods order explain economic institutional change,5
chemistry,"""for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies""",fundamental contributions establishment oligonucleotidebased sitedirected mutagenesis development protein studies,4
medicine,"""for their discoveries of split genes""",discoveries split genes,1
medicine,"""for their discoveries of split genes""",discoveries split genes,1
chemistry,"""for his invention of the polymerase chain reaction (PCR) method""",invention polymerase chain reaction PCR method,4
peace,"""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa""",work peaceful termination apartheid regime laying foundations new democratic South Africa,2
economics,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",renewed research economic history applying economic theory quantitative methods order explain economic institutional change,5
peace,"""for their work for the peaceful termination of the apartheid regime and for laying the foundations for a new democratic South Africa""",work peaceful termination apartheid regime laying foundations new democratic South Africa,2
medicine,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",discovery Gproteins role proteins signal transduction cells,1
medicine,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",discovery Gproteins role proteins signal transduction cells,1
chemistry,"""for his contribution to carbocation chemistry""",contribution carbocation chemistry,4
physics,"""for the development of neutron spectroscopy""",development neutron spectroscopy,0
physics,"""for the development of the neutron diffraction technique""",development neutron diffraction technique,0
literature,"""who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today""",poetic force creates imagined world life myth condense form disconcerting picture human predicament today,3
peace,"""for their efforts to create peace in the Middle East""",efforts create peace Middle East,2
peace,"""for their efforts to create peace in the Middle East""",efforts create peace Middle East,2
peace,"""for their efforts to create peace in the Middle East""",efforts create peace Middle East,2
economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",pioneering analysis equilibria theory noncooperative games,5
economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",pioneering analysis equilibria theory noncooperative games,5
economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",pioneering analysis equilibria theory noncooperative games,5
physics,"""for the detection of the neutrino""",detection neutrino,0
medicine,"""for their discoveries concerning the genetic control of early embryonic development""",discoveries concerning genetic control early embryonic development,1
chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""",work atmospheric chemistry particularly concerning formation decomposition ozone,4
chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""",work atmospheric chemistry particularly concerning formation decomposition ozone,4
economics,"""for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",developed applied hypothesis rational expectations thereby transformed macroeconomic analysis deepened understanding economic policy,5
literature,"""for works of lyrical beauty and ethical depth which exalt everyday miracles and the living past""",works lyrical beauty ethical depth exalt everyday miracles living past,3
chemistry,"""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""",work atmospheric chemistry particularly concerning formation decomposition ozone,4
medicine,"""for their discoveries concerning the genetic control of early embryonic development""",discoveries concerning genetic control early embryonic development,1
peace,"""for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms""",efforts diminish part played nuclear arms international politics longer run eliminate arms,2
peace,"""for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms""",efforts diminish part played nuclear arms international politics longer run eliminate arms,2
physics,"""for the discovery of the tau lepton""",discovery tau lepton,0
medicine,"""for their discoveries concerning the genetic control of early embryonic development""",discoveries concerning genetic control early embryonic development,1
physics,"""for their discovery of superfluidity in helium-3""",discovery superfluidity helium3,0
physics,"""for their discovery of superfluidity in helium-3""",discovery superfluidity helium3,0
physics,"""for their discovery of superfluidity in helium-3""",discovery superfluidity helium3,0
medicine,"""for their discoveries concerning the specificity of the cell mediated immune defence""",discoveries concerning specificity cell mediated immune defence,1
medicine,"""for their discoveries concerning the specificity of the cell mediated immune defence""",discoveries concerning specificity cell mediated immune defence,1
chemistry,"""for their discovery of fullerenes""",discovery fullerenes,4
literature,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",poetry ironic precision allows historical biological context come light fragments human reality,3
peace,"""for their work towards a just and peaceful solution to the conflict in East Timor""",work towards peaceful solution conflict East Timor,2
peace,"""for their work towards a just and peaceful solution to the conflict in East Timor""",work towards peaceful solution conflict East Timor,2
chemistry,"""for their discovery of fullerenes""",discovery fullerenes,4
economics,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",fundamental contributions economic theory incentives asymmetric information,5
chemistry,"""for their discovery of fullerenes""",discovery fullerenes,4
economics,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",fundamental contributions economic theory incentives asymmetric information,5
literature,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",emulates jesters Middle Ages scourging authority upholding dignity downtrodden,3
chemistry,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",elucidation enzymatic mechanism underlying synthesis adenosine triphosphate ATP,4
chemistry,"""for the first discovery of an ion-transporting enzyme Na+ K+ -ATPase""",first discovery iontransporting enzyme Na K ATPase,4
economics,"""for a new method to determine the value of derivatives""",new method determine value derivatives,5
medicine,"""for his discovery of Prions - a new biological principle of infection""",discovery Prions new biological principle infection,1
physics,"""for development of methods to cool and trap atoms with laser light""",development methods cool trap atoms laser light,0
economics,"""for a new method to determine the value of derivatives""",new method determine value derivatives,5
physics,"""for development of methods to cool and trap atoms with laser light""",development methods cool trap atoms laser light,0
physics,"""for development of methods to cool and trap atoms with laser light""",development methods cool trap atoms laser light,0
peace,"""for their work for the banning and clearing of anti-personnel mines""",work banning clearing antipersonnel mines,2
peace,"""for their work for the banning and clearing of anti-personnel mines""",work banning clearing antipersonnel mines,2
chemistry,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",elucidation enzymatic mechanism underlying synthesis adenosine triphosphate ATP,4
economics,"""for his contributions to welfare economics""",contributions welfare economics,5
physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",discovery new form quantum fluid fractionally charged excitations,0
literature,"""who with parables sustained by imagination compassion and irony continually enables us once again to apprehend an elusory reality""",parables sustained imagination compassion irony continually enables us apprehend elusory reality,3
physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",discovery new form quantum fluid fractionally charged excitations,0
chemistry,"""for his development of the density-functional theory""",development densityfunctional theory,4
medicine,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",discoveries concerning nitric oxide signalling molecule cardiovascular system,1
medicine,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",discoveries concerning nitric oxide signalling molecule cardiovascular system,1
medicine,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",discoveries concerning nitric oxide signalling molecule cardiovascular system,1
chemistry,"""for his development of computational methods in quantum chemistry""",development computational methods quantum chemistry,4
peace,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",efforts find peaceful solution conflict Northern Ireland,2
peace,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",efforts find peaceful solution conflict Northern Ireland,2
physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",discovery new form quantum fluid fractionally charged excitations,0
literature,"""whose frolicsome black fables portray the forgotten face of history""",whose frolicsome black fables portray forgotten face history,3
chemistry,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",studies transition states chemical reactions using femtosecond spectroscopy,4
peace,"""in recognition of the organisation's pioneering humanitarian work on several continents""",recognition organisations pioneering humanitarian work several continents,2
physics,"""for elucidating the quantum structure of electroweak interactions in physics""",elucidating quantum structure electroweak interactions physics,0
physics,"""for elucidating the quantum structure of electroweak interactions in physics""",elucidating quantum structure electroweak interactions physics,0
economics,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",analysis monetary fiscal policy different exchange rate regimes analysis optimum currency areas,5
medicine,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",discovery proteins intrinsic signals govern transport localization cell,1
chemistry,"""for the discovery and development of conductive polymers""",discovery development conductive polymers,4
literature,"""for an œuvre of universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama""",œuvre universal validity bitter insights linguistic ingenuity opened new paths Chinese novel drama,3
economics,"""for his development of theory and methods for analyzing discrete choice""",development theory methods analyzing discrete choice,5
economics,"""for his development of theory and methods for analyzing selective samples""",development theory methods analyzing selective samples,5
chemistry,"""for the discovery and development of conductive polymers""",discovery development conductive polymers,4
chemistry,"""for the discovery and development of conductive polymers""",discovery development conductive polymers,4
medicine,"""for their discoveries concerning signal transduction in the nervous system""",discoveries concerning signal transduction nervous system,1
physics,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",developing semiconductor heterostructures used highspeed optoelectronics,0
physics,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",developing semiconductor heterostructures used highspeed optoelectronics,0
